support,itemsets
0.9735,"frozenset({'Olive oil, virgin or extra-virgin'})"
0.7295,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.7268333333333333,frozenset({'Sucrose (common sugar)'})
0.6443333333333333,frozenset({'Natural mineral water'})
0.615,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment'})"
0.5786666666666667,frozenset({'Dried durum pasta'})
0.5378333333333334,"frozenset({'Garlic, PROCESS= Raw, no heat treatment'})"
0.4375,frozenset({'Parsley'})
0.37133333333333335,frozenset({'Wheat flour white'})
0.3475,"frozenset({'Lettuces, PROCESS= Raw, no heat treatment'})"
0.2688333333333333,"frozenset({'Mozzarella, RACSOURCE= Cow milk'})"
0.23983333333333334,"frozenset({'Wine, white'})"
0.1865,"frozenset({'Juice, lemon'})"
0.15933333333333333,"frozenset({'Seed oils, GEN= Unspecified'})"
0.14483333333333334,"frozenset({'Biscuits, sweet, plain'})"
0.1405,"frozenset({'Oranges, PROCESS= Unprocessed'})"
0.14,"frozenset({'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains'})"
0.11566666666666667,"frozenset({'Courgettes, PROCESS= Raw, no heat treatment'})"
0.43833333333333335,"frozenset({'Wheat bread and rolls, white (refined flour)'})"
0.434,"frozenset({'Cow milk, whole'})"
0.28633333333333333,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.13066666666666665,"frozenset({'Florence fennels, PROCESS= Raw, no heat treatment'})"
0.11216666666666666,frozenset({'Bottled drinking water'})
0.43633333333333335,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.41983333333333334,frozenset({'Tap water'})
0.28633333333333333,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.19533333333333333,frozenset({'Meat extract'})
0.14883333333333335,"frozenset({'Calf fresh meat, PROCESS= Raw, no heat treatment'})"
0.12466666666666666,"frozenset({'Croissant, PLACE= Food industry prepared'})"
0.3918333333333333,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel'})"
0.283,"frozenset({'Wine, red'})"
0.233,"frozenset({'Cow, ox or bull fresh meat, PARTCON= Including visible fat, PROCESS= Raw, no heat treatment'})"
0.17983333333333335,"frozenset({'Cavendishes, PROCESS= Unprocessed'})"
0.161,"frozenset({'Ham, pork'})"
0.3985,"frozenset({'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.2748333333333333,"frozenset({'Wheat bread and rolls, semi-brown'})"
0.171,"frozenset({'Breadcrumbs, QUAL= White/refined'})"
0.15766666666666668,frozenset({'Cooked pork ham'})
0.10766666666666666,"frozenset({'Radicchio, PROCESS= Raw, no heat treatment'})"
0.17466666666666666,"frozenset({'Vinegar, wine'})"
0.1255,"frozenset({'Swiss chards, PROCESS= Raw, no heat treatment'})"
0.292,"frozenset({'Apples, PARTCON= W/o peel'})"
0.20366666666666666,frozenset({'Butter'})
0.2728333333333333,"frozenset({'Carrots, PROCESS= Raw, no heat treatment'})"
0.12333333333333334,"frozenset({'Rusk, refined flour'})"
0.22133333333333333,frozenset({'Celery leaves'})
0.14816666666666667,"frozenset({'Rice grain, polished, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.14416666666666667,"frozenset({'Pears, PROCESS= Unprocessed'})"
0.334,"frozenset({'Main-crop potatoes, PROCESS= Unprocessed'})"
0.11683333333333333,"frozenset({'Tea infusion (black, white), QUAL= Without added sugar'})"
0.248,"frozenset({'Cow milk, semi skimmed (half fat)'})"
0.7141666666666666,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Olive oil, virgin or extra-virgin'})"
0.7103333333333334,"frozenset({'Sucrose (common sugar)', 'Olive oil, virgin or extra-virgin'})"
0.5846666666666667,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Sucrose (common sugar)'})"
0.6285,"frozenset({'Natural mineral water', 'Olive oil, virgin or extra-virgin'})"
0.4681666666666667,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Natural mineral water'})"
0.4668333333333333,"frozenset({'Natural mineral water', 'Sucrose (common sugar)'})"
0.6103333333333333,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.4475,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Sucrose (common sugar)'})"
0.44733333333333336,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.3945,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Natural mineral water'})"
0.5733333333333334,"frozenset({'Dried durum pasta', 'Olive oil, virgin or extra-virgin'})"
0.41983333333333334,"frozenset({'Dried durum pasta', 'Sucrose (common sugar)'})"
0.4126666666666667,"frozenset({'Dried durum pasta', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.4121666666666667,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Dried durum pasta'})"
0.3596666666666667,"frozenset({'Dried durum pasta', 'Natural mineral water'})"
0.5371666666666667,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.3958333333333333,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Sucrose (common sugar)'})"
0.3955,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.38333333333333336,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Dried durum pasta'})"
0.37683333333333335,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Garlic, PROCESS= Raw, no heat treatment'})"
0.349,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Natural mineral water'})"
0.43616666666666665,"frozenset({'Parsley', 'Olive oil, virgin or extra-virgin'})"
0.32766666666666666,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Parsley'})"
0.325,"frozenset({'Parsley', 'Sucrose (common sugar)'})"
0.32083333333333336,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Parsley'})"
0.2856666666666667,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Parsley'})"
0.2801666666666667,"frozenset({'Parsley', 'Natural mineral water'})"
0.2693333333333333,"frozenset({'Dried durum pasta', 'Parsley'})"
0.1995,"frozenset({'Parsley', 'Wheat bread and rolls, white (refined flour)'})"
0.3595,"frozenset({'Wheat flour white', 'Olive oil, virgin or extra-virgin'})"
0.29583333333333334,"frozenset({'Wheat flour white', 'Sucrose (common sugar)'})"
0.2795,"frozenset({'Wheat flour white', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.2405,"frozenset({'Wheat flour white', 'Natural mineral water'})"
0.21316666666666667,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Wheat flour white'})"
0.17983333333333335,"frozenset({'Dried durum pasta', 'Wheat flour white'})"
0.17333333333333334,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Wheat flour white'})"
0.148,"frozenset({'Wheat flour white', 'Parsley'})"
0.1975,"frozenset({'Wheat flour white', 'Cow milk, whole'})"
0.16083333333333333,"frozenset({'Wheat flour white', 'Wheat bread and rolls, white (refined flour)'})"
0.162,"frozenset({'Tap water', 'Wheat flour white'})"
0.15133333333333332,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel', 'Wheat flour white'})"
0.21533333333333332,"frozenset({'Wheat flour white', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.1745,"frozenset({'Wheat flour white', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.345,"frozenset({'Lettuces, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.2763333333333333,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.25466666666666665,"frozenset({'Sucrose (common sugar)', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.22733333333333333,"frozenset({'Natural mineral water', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.21216666666666667,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.20533333333333334,"frozenset({'Dried durum pasta', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.18166666666666667,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.15383333333333332,"frozenset({'Parsley', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.114,"frozenset({'Wheat flour white', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.159,"frozenset({'Wheat bread and rolls, white (refined flour)', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.137,"frozenset({'Cow milk, whole', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.13466666666666666,"frozenset({'Lettuces, PROCESS= Raw, no heat treatment', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.132,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.14816666666666667,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.13533333333333333,"frozenset({'Tap water', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.25866666666666666,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Olive oil, virgin or extra-virgin'})"
0.20383333333333334,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Mozzarella, RACSOURCE= Cow milk'})"
0.20116666666666666,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Sucrose (common sugar)'})"
0.17666666666666667,"frozenset({'Wheat flour white', 'Mozzarella, RACSOURCE= Cow milk'})"
0.174,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Natural mineral water'})"
0.1495,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Mozzarella, RACSOURCE= Cow milk'})"
0.13966666666666666,"frozenset({'Dried durum pasta', 'Mozzarella, RACSOURCE= Cow milk'})"
0.1195,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Mozzarella, RACSOURCE= Cow milk'})"
0.10466666666666667,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Parsley'})"
0.14633333333333334,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.1265,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Cow milk, whole'})"
0.112,"frozenset({'Tap water', 'Mozzarella, RACSOURCE= Cow milk'})"
0.11083333333333334,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel', 'Mozzarella, RACSOURCE= Cow milk'})"
0.10866666666666666,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Wheat bread and rolls, white (refined flour)'})"
0.12233333333333334,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.11783333333333333,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.23866666666666667,"frozenset({'Wine, white', 'Olive oil, virgin or extra-virgin'})"
0.18116666666666667,"frozenset({'Wine, white', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.17733333333333334,"frozenset({'Wine, white', 'Sucrose (common sugar)'})"
0.16216666666666665,"frozenset({'Wine, white', 'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment'})"
0.15116666666666667,"frozenset({'Wine, white', 'Natural mineral water'})"
0.14883333333333335,"frozenset({'Wine, white', 'Garlic, PROCESS= Raw, no heat treatment'})"
0.13516666666666666,"frozenset({'Wine, white', 'Dried durum pasta'})"
0.13316666666666666,"frozenset({'Wine, white', 'Parsley'})"
0.104,"frozenset({'Wine, white', 'Wheat flour white'})"
0.10366666666666667,"frozenset({'Wine, white', 'Cow milk, whole'})"
0.10033333333333333,"frozenset({'Wine, white', 'Wheat bread and rolls, white (refined flour)'})"
0.10483333333333333,"frozenset({'Wine, white', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.183,"frozenset({'Juice, lemon', 'Olive oil, virgin or extra-virgin'})"
0.14666666666666667,"frozenset({'Juice, lemon', 'Sucrose (common sugar)'})"
0.13616666666666666,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Juice, lemon'})"
0.12633333333333333,"frozenset({'Juice, lemon', 'Natural mineral water'})"
0.1075,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Juice, lemon'})"
0.10733333333333334,"frozenset({'Juice, lemon', 'Parsley'})"
0.10633333333333334,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Juice, lemon'})"
0.15016666666666667,"frozenset({'Seed oils, GEN= Unspecified', 'Olive oil, virgin or extra-virgin'})"
0.1375,"frozenset({'Seed oils, GEN= Unspecified', 'Wheat flour white'})"
0.1295,"frozenset({'Seed oils, GEN= Unspecified', 'Mozzarella, RACSOURCE= Cow milk'})"
0.1245,"frozenset({'Seed oils, GEN= Unspecified', 'Sucrose (common sugar)'})"
0.114,"frozenset({'Seed oils, GEN= Unspecified', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.10083333333333333,"frozenset({'Seed oils, GEN= Unspecified', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.142,"frozenset({'Biscuits, sweet, plain', 'Olive oil, virgin or extra-virgin'})"
0.11683333333333333,"frozenset({'Biscuits, sweet, plain', 'Sucrose (common sugar)'})"
0.1095,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Biscuits, sweet, plain'})"
0.13833333333333334,"frozenset({'Oranges, PROCESS= Unprocessed', 'Olive oil, virgin or extra-virgin'})"
0.11416666666666667,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Oranges, PROCESS= Unprocessed'})"
0.1045,"frozenset({'Oranges, PROCESS= Unprocessed', 'Sucrose (common sugar)'})"
0.13916666666666666,"frozenset({'Wheat flour white', 'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains'})"
0.1315,"frozenset({'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains', 'Olive oil, virgin or extra-virgin'})"
0.12716666666666668,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains'})"
0.12283333333333334,"frozenset({'Seed oils, GEN= Unspecified', 'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains'})"
0.11166666666666666,"frozenset({'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains', 'Sucrose (common sugar)'})"
0.10266666666666667,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains'})"
0.11483333333333333,"frozenset({'Courgettes, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.4285,"frozenset({'Wheat bread and rolls, white (refined flour)', 'Olive oil, virgin or extra-virgin'})"
0.3248333333333333,"frozenset({'Sucrose (common sugar)', 'Wheat bread and rolls, white (refined flour)'})"
0.32466666666666666,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Wheat bread and rolls, white (refined flour)'})"
0.2961666666666667,"frozenset({'Natural mineral water', 'Wheat bread and rolls, white (refined flour)'})"
0.25733333333333336,"frozenset({'Dried durum pasta', 'Wheat bread and rolls, white (refined flour)'})"
0.24166666666666667,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Wheat bread and rolls, white (refined flour)'})"
0.283,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Wheat bread and rolls, white (refined flour)'})"
0.4246666666666667,"frozenset({'Cow milk, whole', 'Olive oil, virgin or extra-virgin'})"
0.32183333333333336,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Cow milk, whole'})"
0.32166666666666666,"frozenset({'Sucrose (common sugar)', 'Cow milk, whole'})"
0.283,"frozenset({'Natural mineral water', 'Cow milk, whole'})"
0.24783333333333332,"frozenset({'Dried durum pasta', 'Cow milk, whole'})"
0.186,"frozenset({'Cow milk, whole', 'Wheat bread and rolls, white (refined flour)'})"
0.2693333333333333,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Cow milk, whole'})"
0.2445,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Cow milk, whole'})"
0.19833333333333333,"frozenset({'Parsley', 'Cow milk, whole'})"
0.21166666666666667,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Cow milk, whole'})"
0.2811666666666667,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.21516666666666667,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Sucrose (common sugar)'})"
0.21266666666666667,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.18533333333333332,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Natural mineral water'})"
0.1725,"frozenset({'Wheat flour white', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.14783333333333334,"frozenset({'Dried durum pasta', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.1365,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Cow milk, whole'})"
0.12333333333333334,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Wheat bread and rolls, white (refined flour)'})"
0.13383333333333333,"frozenset({'Tap water', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.19833333333333333,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.15066666666666667,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.14633333333333334,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Parsley'})"
0.13766666666666666,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.13016666666666668,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.13,"frozenset({'Florence fennels, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.10433333333333333,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Florence fennels, PROCESS= Raw, no heat treatment'})"
0.10183333333333333,"frozenset({'Florence fennels, PROCESS= Raw, no heat treatment', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.10833333333333334,"frozenset({'Bottled drinking water', 'Olive oil, virgin or extra-virgin'})"
0.42816666666666664,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Olive oil, virgin or extra-virgin'})"
0.3268333333333333,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Sucrose (common sugar)'})"
0.31433333333333335,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.28833333333333333,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Natural mineral water'})"
0.2718333333333333,"frozenset({'Dried durum pasta', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.28983333333333333,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.19383333333333333,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Wheat bread and rolls, white (refined flour)'})"
0.1935,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Parsley'})"
0.23866666666666667,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.409,"frozenset({'Tap water', 'Olive oil, virgin or extra-virgin'})"
0.3065,"frozenset({'Tap water', 'Sucrose (common sugar)'})"
0.29783333333333334,"frozenset({'Tap water', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.25633333333333336,"frozenset({'Dried durum pasta', 'Tap water'})"
0.185,"frozenset({'Tap water', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.145,"frozenset({'Tap water', 'Natural mineral water'})"
0.18333333333333332,"frozenset({'Tap water', 'Cow milk, whole'})"
0.17716666666666667,"frozenset({'Tap water', 'Wheat bread and rolls, white (refined flour)'})"
0.2555,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Tap water'})"
0.2245,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Tap water'})"
0.19583333333333333,"frozenset({'Tap water', 'Parsley'})"
0.2831666666666667,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.22433333333333333,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.20466666666666666,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Sucrose (common sugar)'})"
0.1925,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Natural mineral water'})"
0.15183333333333332,"frozenset({'Dried durum pasta', 'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.1155,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.10716666666666666,"frozenset({'Tap water', 'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.16833333333333333,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.15433333333333332,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.14716666666666667,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.12666666666666668,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Parsley'})"
0.1225,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Cow milk, whole'})"
0.11366666666666667,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.1295,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Wheat bread and rolls, white (refined flour)'})"
0.18783333333333332,"frozenset({'Meat extract', 'Olive oil, virgin or extra-virgin'})"
0.142,"frozenset({'Sucrose (common sugar)', 'Meat extract'})"
0.13833333333333334,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Meat extract'})"
0.13,"frozenset({'Natural mineral water', 'Meat extract'})"
0.1175,"frozenset({'Tap water', 'Meat extract'})"
0.10233333333333333,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Meat extract'})"
0.1385,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Meat extract'})"
